"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","BB%","K%","wRC+","wOBA","WAR","playerid"
"Starlin Castro","WSN","87","315","346","89","66","20","0","3","25","38","26","1","62","0","4","0","6","0","1",".283",".333",".375",".708","7.5%","17.9%","90",".309","0.4","4579"
"Kyle Seager","SEA","159","603","670","128","63","29","1","35","73","101","59","2","161","4","4","0","7","3","1",".212",".285",".438",".723","8.8%","24.0%","99",".308","2.5","9785"
"Eugenio Suarez","CIN","145","505","574","100","46","23","0","31","71","79","56","0","171","8","5","0","14","0","1",".198",".286",".428",".713","9.8%","29.8%","85",".306","0.6","12552"
"Abraham Toro","- - -","95","335","375","80","57","12","0","11","45","46","31","0","54","7","2","0","5","6","3",".239",".315",".373",".688","8.3%","14.4%","95",".303","1.2","19844"
"Ke'Bryan Hayes","PIT","96","362","396","93","65","20","2","6","49","38","31","0","87","1","2","0","11","9","1",".257",".316",".373",".689","7.8%","22.0%","88",".301","1.5","18577"
"Cavan Biggio","TOR","79","250","294","56","38","10","1","7","27","27","37","2","78","1","4","1","4","3","1",".224",".322",".356",".678","12.6%","26.5%","84",".298","-0.1","19252"
"Phil Gosselin","LAA","104","345","373","90","69","14","0","7","40","47","24","0","81","3","1","0","3","4","2",".261",".314",".362",".676","6.4%","21.7%","87",".297","0.1","10953"
"Asdrubal Cabrera","- - -","110","309","352","71","43","21","0","7","34","42","36","1","80","3","4","0","8","1","0",".230",".313",".366",".678","10.2%","22.7%","82",".297","0.0","4962"
"Hanser Alberto","KCR","103","241","255","65","40","20","3","2","25","24","4","0","26","4","2","4","1","3","1",".270",".291",".402",".693","1.6%","10.2%","84",".296","0.6","11902"
"Hunter Dozier","KCR","144","487","543","105","56","27","6","16","55","54","43","0","154","7","6","0","12","5","4",".216",".285",".394",".680","7.9%","28.4%","82",".293","-0.2","15117"
"Charlie Culberson","TEX","91","247","271","60","38","15","2","5","23","22","17","1","64","2","1","4","3","7","1",".243",".296",".381",".676","6.3%","23.6%","85",".292","0.6","3298"
"Rougned Odor","NYY","102","322","361","65","38","12","0","15","42","39","27","2","100","11","0","1","3","0","1",".202",".286",".379",".665","7.5%","27.7%","83",".289","0.6","12282"
"Travis Shaw","- - -","84","220","250","44","24","11","0","9","20","39","24","0","68","3","1","2","2","0","0",".200",".286",".373",".659","9.6%","27.2%","78",".289","-0.2","11982"
"Josh VanMeter","ARI","112","274","310","58","33","17","2","6","26","36","33","0","83","1","2","0","5","3","2",".212",".297",".354",".651","10.6%","26.8%","75",".287","-0.5","15170"
"Alec Bohm","PHI","115","380","417","94","72","15","0","7","46","47","31","0","111","2","4","0","12","4","0",".247",".305",".342",".647","7.4%","26.6%","75",".285","-0.2","21618"
"Jack Mayfield","- - -","87","266","290","58","33","15","0","10","30","39","17","0","68","3","1","3","6","5","0",".218",".272",".387",".659","5.9%","23.4%","79",".284","0.6","15402"
"Mike Moustakas","CIN","62","183","206","38","20","12","0","6","21","22","18","0","46","2","3","0","6","0","0",".208",".282",".372",".653","8.7%","22.3%","70",".284","-0.4","4892"
"Jon Berti","MIA","85","233","271","49","34","10","1","4","35","19","32","0","61","3","2","1","7","8","4",".210",".311",".313",".624","11.8%","22.5%","79",".282","0.2","12037"
"Carter Kieboom","WSN","62","217","249","45","33","6","0","6","26","20","25","2","62","5","2","0","9","0","0",".207",".301",".318",".619","10.0%","24.9%","68",".275","-0.7","19958"
"Ronald Torreyes","PHI","112","318","344","77","59","10","1","7","30","41","19","2","41","1","1","5","7","2","1",".242",".286",".346",".632","5.5%","11.9%","68",".274","0.6","11400"
"Willians Astudillo","MIN","73","208","216","49","34","8","0","7","17","21","3","0","12","4","1","0","12","0","0",".236",".259",".375",".634","1.4%","5.6%","70",".272","-0.8","15608"
"Kelvin Gutierrez","- - -","85","272","295","63","49","8","3","3","23","20","19","0","76","4","0","0","4","0","1",".232",".292",".316",".608","6.4%","25.8%","67",".270","-0.6","17468"
"Ha-seong Kim","SDP","117","267","298","54","32","12","2","8","27","34","22","1","71","4","3","2","6","6","1",".202",".270",".352",".622","7.4%","23.8%","70",".270","0.6","27506"
"David Bote","CHC","97","291","327","58","38","10","2","8","32","35","27","0","73","5","3","1","13","0","1",".199",".276",".330",".606","8.3%","22.3%","64",".268","-0.6","14593"
"Maikel Franco","BAL","104","377","403","79","46","22","0","11","31","47","20","0","67","3","3","0","12","0","0",".210",".253",".355",".609","5.0%","16.6%","62",".263","-0.3","12179"
"Joshua Fuentes","COL","95","271","284","61","42","11","1","7","30","33","12","1","65","0","1","0","5","0","0",".225",".257",".351",".608","4.2%","22.9%","48",".261","-0.3","16885"
"Brock Holt","TEX","77","235","260","49","33","13","1","2","21","23","23","0","49","1","1","0","5","5","1",".209",".281",".298",".579","8.8%","18.8%","62",".259","-0.3","9345"
"Isan Diaz","MIA","89","238","277","46","33","9","0","4","25","17","34","6","73","1","3","1","2","1","1",".193",".293",".282",".575","12.3%","26.4%","60",".253","-0.7","17922"
"Joe Panik","- - -","95","236","257","49","37","9","0","3","17","18","17","1","34","2","1","1","9","2","0",".208",".266",".284",".550","6.6%","13.2%","51",".244","-1.2","11936"
"Erik Gonzalez","PIT","71","220","229","51","41","7","1","2","17","21","8","0","40","0","1","0","4","2","2",".232",".258",".300",".558","3.5%","17.5%","50",".244","-0.7","13369"
